id,pesid,data_inversa,dia_semana,horario,uf,br,km,municipio,causa_principal,causa_acidente,ordem_tipo_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,id_veiculo,tipo_veiculo,marca,ano_fabricacao_veiculo,tipo_envolvido,estado_fisico,idade,sexo,ilesos,feridos_leves,feridos_graves,mortos,latitude,longitude,regional,delegacia,uop
443184,953531,2022-04-09,sábado,23:20:00,PE,101,"70,4",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Reta,Não,771553,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
444286,956687,2022-04-17,domingo,15:25:00,PE,101,72,RECIFE,Não,Área urbana sem a presença de local apropriado para a travessia de pedestres,2,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Viaduto,Sim,773789,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,18.0,Masculino,0,1,0,0,"-8,08493106","-34,9450639",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
444286,956687,2022-04-17,domingo,15:25:00,PE,101,72,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,2,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Viaduto,Sim,773789,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,18.0,Masculino,0,1,0,0,"-8,08493106","-34,9450639",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
444286,956687,2022-04-17,domingo,15:25:00,PE,101,72,RECIFE,Não,Área urbana sem a presença de local apropriado para a travessia de pedestres,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Viaduto,Sim,773789,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,18.0,Masculino,0,1,0,0,"-8,08493106","-34,9450639",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
444286,956687,2022-04-17,domingo,15:25:00,PE,101,72,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Viaduto,Sim,773789,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,18.0,Masculino,0,1,0,0,"-8,08493106","-34,9450639",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
451685,974165,2022-05-24,terça-feira,08:00:00,PE,232,"7,5",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,3,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,787699,Bicicleta,MONARK/,0,Condutor,Lesões Leves,57.0,Masculino,0,1,0,0,"-8,06795766","-34,94535414",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
451685,974165,2022-05-24,terça-feira,08:00:00,PE,232,"7,5",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,2,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,787699,Bicicleta,MONARK/,0,Condutor,Lesões Leves,57.0,Masculino,0,1,0,0,"-8,06795766","-34,94535414",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
451685,974165,2022-05-24,terça-feira,08:00:00,PE,232,"7,5",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Sim,787699,Bicicleta,MONARK/,0,Condutor,Lesões Leves,57.0,Masculino,0,1,0,0,"-8,06795766","-34,94535414",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
458111,988856,2022-06-26,domingo,13:20:00,PE,101,"73,9",RECIFE,Sim,Reação tardia ou ineficiente do condutor,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,799852,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,56.0,Masculino,0,0,1,0,"-8,101048","-34,949503",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
460176,994137,2022-07-07,quinta-feira,08:20:00,PE,101,"58,4",RECIFE,Sim,Transitar no acostamento,2,Queda de ocupante de veículo,Com Vítimas Fatais,Pleno dia,Crescente,Nublado,Dupla,Reta;Declive,Não,804022,Bicicleta,Não Informado/Não Informado,0,Condutor,Óbito,49.0,Masculino,0,0,0,1,"-7,97063209","-34,92064675",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
460176,994137,2022-07-07,quinta-feira,08:20:00,PE,101,"58,4",RECIFE,Sim,Transitar no acostamento,1,Colisão transversal,Com Vítimas Fatais,Pleno dia,Crescente,Nublado,Dupla,Reta;Declive,Não,804022,Bicicleta,Não Informado/Não Informado,0,Condutor,Óbito,49.0,Masculino,0,0,0,1,"-7,97063209","-34,92064675",SPRF-PE,DEL01-PE,UOP02-DEL01-PE
461554,997486,2022-07-13,quarta-feira,17:30:00,PE,101,"75,5",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,806660,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,55.0,Masculino,0,1,0,0,"-8,10973523","-34,94660151",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
463318,1001797,2022-07-22,sexta-feira,20:00:00,PE,101,"67,5",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,2,Queda de ocupante de veículo,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,810055,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,20.0,Masculino,0,0,1,0,"-8,046997","-34,944999",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
463318,1001797,2022-07-22,sexta-feira,20:00:00,PE,101,"67,5",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Múltipla,Reta,Sim,810055,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,20.0,Masculino,0,0,1,0,"-8,046997","-34,944999",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
467239,1011390,2022-08-11,quinta-feira,03:30:00,PE,101,70,RECIFE,Não,Restrição de visibilidade em curvas horizontais,2,Queda de ocupante de veículo,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,817536,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
467239,1011390,2022-08-11,quinta-feira,03:30:00,PE,101,70,RECIFE,Não,Iluminação deficiente,2,Queda de ocupante de veículo,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,817536,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
467239,1011390,2022-08-11,quinta-feira,03:30:00,PE,101,70,RECIFE,Não,Curva acentuada,2,Queda de ocupante de veículo,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,817536,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
467239,1011390,2022-08-11,quinta-feira,03:30:00,PE,101,70,RECIFE,Sim,Ausência de reação do condutor,2,Queda de ocupante de veículo,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,817536,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
467239,1011390,2022-08-11,quinta-feira,03:30:00,PE,101,70,RECIFE,Não,Restrição de visibilidade em curvas horizontais,1,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,817536,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
467239,1011390,2022-08-11,quinta-feira,03:30:00,PE,101,70,RECIFE,Não,Iluminação deficiente,1,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,817536,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
467239,1011390,2022-08-11,quinta-feira,03:30:00,PE,101,70,RECIFE,Não,Curva acentuada,1,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,817536,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
467239,1011390,2022-08-11,quinta-feira,03:30:00,PE,101,70,RECIFE,Sim,Ausência de reação do condutor,1,Colisão traseira,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Múltipla,Interseção de Vias,Sim,817536,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,"-8,06776119","-34,94265074",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
469471,1016627,2022-08-21,domingo,14:40:00,PE,232,"5,3",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Curva,Não,821727,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,28.0,Masculino,0,0,1,0,"-8,06795766","-34,94535414",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
470658,1019569,2022-08-27,sábado,18:20:00,PE,101,63,RECIFE,Sim,Ingestão de álcool pelo condutor,1,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Múltipla,Reta,Sim,824126,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,21.0,Masculino,0,1,0,0,"-8,00800604","-34,93756535",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
472937,1024704,2022-09-07,quarta-feira,11:10:00,PE,232,5,RECIFE,Sim,Faixas de trânsito com largura insuficiente,1,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Em Obras,Sim,828299,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,80.0,Masculino,0,1,0,0,"-8,06938497","-34,94836807",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
475193,1030270,2022-09-18,domingo,11:25:00,PE,101,69,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,832528,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,18.0,Masculino,0,1,0,0,"-8,05951606","-34,94581024",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
478900,1038979,2022-10-05,quarta-feira,11:40:00,PE,101,"68,3",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,839458,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,19.0,Feminino,0,1,0,0,"-8,053847","-34,946129",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
478974,1039153,2022-10-06,quinta-feira,17:30:00,PE,232,"8,4",RECIFE,Não,Acessar a via sem observar a presença dos outros veículos,3,Queda de ocupante de veículo,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Dupla,Reta,Sim,839606,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,43.0,Masculino,0,0,1,0,"-8,07583727","-34,97015791",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
478974,1039153,2022-10-06,quinta-feira,17:30:00,PE,232,"8,4",RECIFE,Sim,Transitar na contramão,3,Queda de ocupante de veículo,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Dupla,Reta,Sim,839606,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,43.0,Masculino,0,0,1,0,"-8,07583727","-34,97015791",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
478974,1039153,2022-10-06,quinta-feira,17:30:00,PE,232,"8,4",RECIFE,Não,Acessar a via sem observar a presença dos outros veículos,2,Tombamento,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Dupla,Reta,Sim,839606,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,43.0,Masculino,0,0,1,0,"-8,07583727","-34,97015791",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
478974,1039153,2022-10-06,quinta-feira,17:30:00,PE,232,"8,4",RECIFE,Sim,Transitar na contramão,2,Tombamento,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Dupla,Reta,Sim,839606,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,43.0,Masculino,0,0,1,0,"-8,07583727","-34,97015791",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
478974,1039153,2022-10-06,quinta-feira,17:30:00,PE,232,"8,4",RECIFE,Não,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Dupla,Reta,Sim,839606,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,43.0,Masculino,0,0,1,0,"-8,07583727","-34,97015791",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
478974,1039153,2022-10-06,quinta-feira,17:30:00,PE,232,"8,4",RECIFE,Sim,Transitar na contramão,1,Colisão transversal,Com Vítimas Feridas,Anoitecer,Crescente,Nublado,Dupla,Reta,Sim,839606,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,43.0,Masculino,0,0,1,0,"-8,07583727","-34,97015791",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
494851,1077626,2022-12-23,sexta-feira,22:20:00,PE,101,"64,6",RECIFE,Sim,Transitar na contramão,1,Colisão frontal,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Não,869804,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,23.0,Feminino,0,1,0,0,"-8,0162921","-34,94045886",SPRF-PE,DEL01-PE,UOP01-DEL01-PE
575024,1277806,2024-01-16,terça-feira,07:50:00,PE,232,5,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,3,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Curva,Sim,1024229,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,60.0,Masculino,0,1,0,0,-8.06795766,-34.94535414,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
575024,1277806,2024-01-16,terça-feira,07:50:00,PE,232,5,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,2,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Curva,Sim,1024229,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,60.0,Masculino,0,1,0,0,-8.06795766,-34.94535414,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
575024,1277806,2024-01-16,terça-feira,07:50:00,PE,232,5,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão lateral mesmo sentido,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Curva,Sim,1024229,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,60.0,Masculino,0,1,0,0,-8.06795766,-34.94535414,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
581329,1295309,2024-02-15,quinta-feira,14:30:00,PE,101,"77,8",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Eventos atípicos,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Aclive;Reta;Interseção de Vias,Sim,1037522,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,48.0,Masculino,0,0,1,0,-8.133152,-34.947062,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
582820,1297356,2024-02-23,sexta-feira,15:35:00,PE,101,65,RECIFE,Sim,Ausência de reação do condutor,3,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,1039168,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,,Masculino,0,1,0,0,-8.02478597,-34.94276635,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
582820,1297356,2024-02-23,sexta-feira,15:35:00,PE,101,65,RECIFE,Sim,Ausência de reação do condutor,2,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,1039168,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,,Masculino,0,1,0,0,-8.02478597,-34.94276635,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
582820,1297356,2024-02-23,sexta-feira,15:35:00,PE,101,65,RECIFE,Sim,Ausência de reação do condutor,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Múltipla,Reta,Sim,1039168,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,,Masculino,0,1,0,0,-8.02478597,-34.94276635,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
583058,1297934,2024-02-24,sábado,18:35:00,PE,101,"65,5",RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão lateral sentido oposto,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Múltipla,Reta,Sim,1039641,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,37.0,Masculino,0,1,0,0,-8.028678,-34.943163,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
587092,1307012,2024-03-13,quarta-feira,22:26:00,PE,101,67,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Múltipla,Reta,Não,1046903,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,49.0,Feminino,0,0,1,0,-8.042334,-34.943096,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
587623,1308421,2024-03-16,sábado,08:35:00,PE,101,69,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,2,Queda de ocupante de veículo,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Interseção de Vias,Sim,1048036,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,56.0,Masculino,0,1,0,0,-8.059495,-34.946124,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
587623,1308421,2024-03-16,sábado,08:35:00,PE,101,69,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Interseção de Vias,Sim,1048036,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,56.0,Masculino,0,1,0,0,-8.059495,-34.946124,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
590348,1314639,2024-03-28,quinta-feira,17:25:00,PE,101,49,RECIFE,Não,Falta de acostamento,2,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,1053016,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,69.0,Masculino,0,0,1,0,-7.9005152,-34.90180641,SPRF-PE,DEL01-PE,UOP02-DEL01-PE
590348,1314639,2024-03-28,quinta-feira,17:25:00,PE,101,49,RECIFE,Sim,Condutor deixou de manter distância do veículo da frente,2,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,1053016,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,69.0,Masculino,0,0,1,0,-7.9005152,-34.90180641,SPRF-PE,DEL01-PE,UOP02-DEL01-PE
590348,1314639,2024-03-28,quinta-feira,17:25:00,PE,101,49,RECIFE,Não,Falta de acostamento,1,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,1053016,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,69.0,Masculino,0,0,1,0,-7.9005152,-34.90180641,SPRF-PE,DEL01-PE,UOP02-DEL01-PE
590348,1314639,2024-03-28,quinta-feira,17:25:00,PE,101,49,RECIFE,Sim,Condutor deixou de manter distância do veículo da frente,1,Colisão lateral mesmo sentido,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Sim,1053016,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Graves,69.0,Masculino,0,0,1,0,-7.9005152,-34.90180641,SPRF-PE,DEL01-PE,UOP02-DEL01-PE
592961,1321049,2024-04-09,terça-feira,21:00:00,PE,101,81,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim,1057968,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,40.0,Feminino,0,1,0,0,-8.1597489,-34.94024569,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
594563,1324757,2024-04-17,quarta-feira,17:05:00,PE,101,64,RECIFE,Sim,Acessar a via sem observar a presença dos outros veículos,1,Colisão transversal,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Sim,1061036,Bicicleta,Não Informado/Não Informado,0,Condutor,Não Informado,,Não Informado,0,0,0,0,-8.02118794,-34.94261026,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
597470,1333783,2024-04-30,terça-feira,17:20:00,PE,101,77,RECIFE,Sim,Trafegar com motocicleta (ou similar) entre as faixas,2,Queda de ocupante de veículo,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Dupla,Reta,Sim,1068329,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,54.0,Masculino,0,1,0,0,-8.126982,-34.94386,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
597470,1333783,2024-04-30,terça-feira,17:20:00,PE,101,77,RECIFE,Sim,Trafegar com motocicleta (ou similar) entre as faixas,1,Colisão lateral mesmo sentido,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Dupla,Reta,Sim,1068329,Bicicleta,Não Informado/Não Informado,0,Condutor,Lesões Leves,54.0,Masculino,0,1,0,0,-8.126982,-34.94386,SPRF-PE,DEL01-PE,UOP01-DEL01-PE
